newid,age,sex,grade,peer_ecig_susceptibility,household_tobacco_use,perceived_harm_original,perceived_harm_binary,ever_used_ecig
118917,8,2,5,NULL,1,2,0,1
118918,7,1,5,3,1,3,1,0
118919,8,2,6,4,1,3,1,0
118920,8,1,6,NULL,0,3,1,1
118921,8,2,6,NULL,1,3,1,1
118922,9,1,6,4,0,3,1,0
118923,9,1,6,3,0,3,1,0
118925,9,1,6,4,1,4,1,0
118926,9,1,6,NULL,1,3,1,1
118927,9,1,6,4,0,3,1,0
118929,8,1,6,4,0,3,1,0
118930,8,1,6,3,0,3,1,0
118931,8,1,6,4,0,4,1,0
118932,8,2,6,4,1,3,1,0
118935,8,1,6,NULL,1,2,0,1
118936,8,1,6,NULL,1,2,0,1
118937,8,2,6,3,0,4,1,0
118938,9,1,7,4,0,4,1,0
118939,9,1,6,NULL,0,2,0,1
118940,9,2,6,4,1,4,1,0
118942,9,2,6,4,0,3,1,0
118943,9,1,6,4,0,4,1,0
118944,9,1,6,3,1,3,1,0
118945,9,2,7,4,1,3,1,0
118946,9,2,7,4,0,4,1,0
118948,10,1,7,NULL,0,2,0,1
118949,9,2,7,NULL,0,3,1,1
118950,10,2,7,4,0,3,1,0
118952,11,2,7,4,0,1,0,0
118953,9,2,7,4,0,4,1,0
118954,9,2,7,4,1,4,1,0
118955,9,2,7,NULL,1,4,1,1
118956,10,2,7,3,1,2,0,0
118957,9,2,7,4,0,4,1,0
118958,10,2,7,4,0,4,1,0
118959,9,1,7,3,1,1,0,0
118962,10,1,7,3,0,4,1,0
118963,10,1,7,NULL,1,3,1,1
118964,10,1,7,3,0,2,0,0
118965,3,2,1,3,0,2,0,0
118967,4,2,1,4,0,4,1,0
118968,4,1,1,4,1,4,1,0
118969,3,2,1,4,0,3,1,0
118970,4,2,1,4,1,3,1,0
118971,4,2,1,3,0,3,1,0
118972,4,1,2,4,0,3,1,0
118973,5,2,2,4,1,4,1,0
118975,5,2,2,3,1,4,1,0
118977,5,1,2,4,1,2,0,0
118979,4,1,2,4,0,4,1,0
118983,4,2,2,4,0,4,1,0
118987,6,1,3,3,0,3,1,0
118989,5,2,3,3,0,3,1,0
118990,7,1,3,NULL,1,4,1,1
118992,6,1,3,4,0,3,1,0
118993,6,2,3,4,0,4,1,0
118995,5,2,3,NULL,0,3,1,1
118996,6,2,3,3,0,1,0,0
118998,7,1,3,3,1,3,1,0
118999,6,2,3,4,0,2,0,0
119000,6,1,3,4,0,4,1,0
119001,6,2,4,4,0,3,1,0
119002,6,2,4,3,0,4,1,0
119003,6,1,4,NULL,0,3,1,1
119004,6,2,4,2,1,4,1,0
119007,6,1,4,4,0,4,1,0
119008,7,1,4,4,0,3,1,0
119009,6,1,4,4,0,3,1,0
119010,7,2,4,NULL,0,4,1,1
119013,7,1,4,3,1,2,0,0
119014,6,2,4,3,0,3,1,0
119015,6,2,4,NULL,0,4,1,1
119016,6,2,4,3,1,3,1,0
119017,7,2,4,3,0,2,0,0
119018,6,2,4,4,0,3,1,0
119019,7,2,4,NULL,0,4,1,1
119022,6,2,4,4,1,3,1,0
119023,7,2,4,NULL,1,3,1,1
119024,6,1,4,3,0,4,1,0
119025,6,1,4,NULL,0,4,1,1
119026,7,2,4,4,1,4,1,0
119027,6,1,4,4,0,3,1,0
119028,8,1,4,4,1,3,1,0
119030,7,1,5,4,0,3,1,0
119031,7,2,5,4,1,4,1,0
119032,8,2,4,2,0,2,0,0
119033,7,1,5,3,0,3,1,0
119035,7,1,5,4,0,3,1,0
119036,8,2,5,3,1,3,1,0
119037,7,2,5,4,1,4,1,0
119038,7,1,5,4,0,3,1,0
119039,8,1,5,NULL,0,4,1,1
119040,8,2,6,NULL,0,4,1,1
119041,7,2,5,4,0,3,1,0
119042,8,2,5,4,0,3,1,0
119043,7,2,5,4,0,4,1,0
119044,9,2,5,4,0,3,1,0
119047,7,2,5,4,1,4,1,0
119049,8,2,5,NULL,0,3,1,1
119050,7,1,5,4,0,3,1,0
119052,8,2,5,4,0,3,1,0
119057,7,2,4,3,0,3,1,0
119058,9,2,5,4,0,3,1,0
119059,8,2,5,4,0,4,1,0
119060,8,1,5,4,0,4,1,0
119064,8,2,5,3,0,1,0,0
119066,10,1,7,NULL,1,1,0,1
119067,7,2,5,4,0,4,1,0
119068,8,1,6,NULL,0,2,0,1
119069,9,1,5,4,0,3,1,0
119070,9,1,6,4,0,3,1,0
119071,8,1,6,NULL,0,2,0,1
119072,10,2,7,3,0,4,1,0
119073,9,1,6,4,0,4,1,0
119075,9,2,7,4,1,4,1,0
119076,9,1,7,4,0,4,1,0
119078,9,2,6,4,0,4,1,0
119079,9,1,7,4,0,3,1,0
119080,8,2,6,4,0,4,1,0
119081,9,2,7,4,0,3,1,0
119082,8,1,6,4,0,3,1,0
119083,9,1,6,3,1,4,1,0
119084,10,2,7,3,0,4,1,0
119085,9,1,7,3,0,4,1,0
119086,10,2,6,4,0,4,1,0
119087,9,1,7,4,0,3,1,0
119088,9,1,6,4,0,3,1,0
119089,9,1,7,2,0,3,1,0
119090,10,2,7,4,0,3,1,0
119091,8,2,6,3,0,4,1,0
119092,10,2,7,4,0,4,1,0
119093,9,2,7,4,0,4,1,0
119094,9,2,7,NULL,0,2,0,1
119095,9,1,7,NULL,0,2,0,1
119096,9,2,6,NULL,0,2,0,1
119097,9,2,6,2,0,4,1,0
119098,9,1,6,4,0,4,1,0
119099,8,1,6,4,0,3,1,0
119100,10,1,7,4,1,3,1,0
119101,9,1,6,4,0,4,1,0
119102,9,2,7,3,0,3,1,0
119103,10,2,7,4,0,4,1,0
119104,9,2,7,NULL,0,4,1,1
119105,10,2,7,4,0,3,1,0
119106,8,2,6,4,1,3,1,0
119107,11,1,7,NULL,0,4,1,1
119109,10,2,7,NULL,1,2,0,1
119110,10,1,7,3,0,3,1,0
119111,9,1,7,NULL,0,4,1,1
119112,8,2,6,4,0,4,1,0
119113,9,2,7,NULL,0,2,0,1
119115,10,1,7,NULL,0,3,1,1
119116,9,1,7,4,0,4,1,0
119117,11,1,7,NULL,0,2,0,1
119118,10,1,7,4,0,4,1,0
119119,11,2,7,4,1,3,1,0
119120,9,1,7,NULL,0,2,0,1
119121,10,1,7,NULL,1,2,0,1
119122,11,1,7,NULL,0,1,0,1
119123,9,1,7,4,1,4,1,0
119124,10,1,7,NULL,0,3,1,1
119125,9,2,7,4,0,2,0,0
119126,10,1,7,4,0,4,1,0
119128,9,2,7,NULL,0,4,1,1
119129,9,2,7,3,0,3,1,0
119130,9,2,7,3,1,4,1,0
119131,9,2,7,4,0,2,0,0
119132,8,2,7,4,0,4,1,0
119136,11,2,7,4,0,4,1,0
119137,9,2,7,3,0,3,1,0
119138,11,2,7,4,0,3,1,0
119139,10,2,7,4,0,3,1,0
119141,4,2,1,3,1,3,1,0
119142,4,1,1,NULL,1,3,1,1
119143,4,1,1,4,0,2,0,0
119144,4,1,1,3,1,3,1,0
119145,5,2,1,2,1,2,0,0
119148,4,1,1,4,1,3,1,0
119149,4,2,1,4,1,2,0,0
119150,3,1,1,3,1,3,1,0
119151,5,2,1,4,1,4,1,0
119152,5,1,1,4,0,1,0,0
119153,4,2,1,4,0,2,0,0
119154,5,1,1,4,0,4,1,0
119155,4,2,1,4,1,4,1,0
119156,4,2,1,4,1,3,1,0
119157,4,1,1,3,1,4,1,0
119158,5,1,1,4,0,4,1,0
119159,4,1,1,4,0,4,1,0
